pdb_id	PDBbind_v18_subset	PLANet_v18	PDBbind_v18_subset_union_PLANet_v18
5yc8	0.3225806451612903	0.4	0.4
5zo8	0.7567567567567568	0.5106382978723404	0.7567567567567568
5zo9	0.7567567567567568	0.5106382978723404	0.7567567567567568
6d1m	0.3939393939393939	0.4318181818181818	0.4318181818181818
6d6t	0.32098765432098764	0.3291139240506329	0.3291139240506329
6d6u	0.32098765432098764	0.3291139240506329	0.3291139240506329
6ckc	0.39285714285714285	0.5925925925925926	0.5925925925925926
6b5q	0.39473684210526316	0.41379310344827586	0.41379310344827586
6f6r	0.42696629213483145	0.4418604651162791	0.4418604651162791
6anl	0.3235294117647059	0.42857142857142855	0.42857142857142855
5kpk	0.28169014084507044	0.29411764705882354	0.29411764705882354
5uy8	0.2619047619047619	0.2682926829268293	0.2682926829268293
5x26	0.5	0.53125	0.53125
5yea	0.34177215189873417	0.44	0.44
6aaj	0.358974358974359	0.5	0.5
6cmj	0.484375	0.5892857142857143	0.5892857142857143
6cn6	0.27835051546391754	0.3253012048192771	0.3253012048192771
6en4	0.2815533980582524	0.2815533980582524	0.2815533980582524
6f23	0.375	0.559322033898305	0.559322033898305
6das	0.32941176470588235	0.358974358974359	0.358974358974359
6aam	0.358974358974359	0.5	0.5
6enm	0.4897959183673469	0.4897959183673469	0.4897959183673469
6g97	0.49382716049382713	0.5	0.5
6g9j	0.3939393939393939	0.45652173913043476	0.45652173913043476
5g57	0.30392156862745096	0.32323232323232326	0.32323232323232326
5ody	0.5194805194805194	0.9333333333333333	0.9333333333333333
5x28	0.5652173913043478	0.5797101449275363	0.5797101449275363
6f3d	0.484375	0.5892857142857143	0.5892857142857143
6g9h	0.3673469387755102	0.4444444444444444	0.4444444444444444
6gue	0.5573770491803278	0.6909090909090909	0.6909090909090909
6aah	0.358974358974359	0.5	0.5
6b31	0.2976190476190476	0.3684210526315789	0.3684210526315789
6b41	0.2882882882882883	0.2619047619047619	0.2882882882882883
6b1o	0.8297872340425532	0.43859649122807015	0.8297872340425532
5mpk	0.463768115942029	0.5211267605633803	0.5211267605633803
5wlv	0.5161290322580645	0.7457627118644068	0.7457627118644068
6c1s	0.2804878048780488	0.2826086956521739	0.2826086956521739
6ccy	0.25225225225225223	0.26881720430107525	0.26881720430107525
6fyk	0.5	0.6071428571428571	0.6071428571428571
6g9n	0.45	0.4639175257731959	0.4639175257731959
6c7e	0.4307692307692308	0.7096774193548387	0.7096774193548387
5j6m	0.2839506172839506	0.34831460674157305	0.34831460674157305
6dkg	0.3333333333333333	0.3333333333333333	0.3333333333333333
6h37	0.5416666666666666	0.5416666666666666	0.5416666666666666
